,titles,years,ratings,actors_list
127,Der Untergang,(2004),8.210941614210913,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
128,The Kid,(1921),8.201910088759458,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,(1959),8.197960671726,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,(2020),8.190329138685913,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,(1950),8.185024384013083,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,Green Book,(2018),8.1809317023891,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133,The Wolf of Wall Street,(2013),8.180696210942292,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
134,Unforgiven,(1992),8.17279541426278,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
135,Casino,(1995),8.17259756727709,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
136,Pan's Labyrinth,(2006),8.172059565810661,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
137,Judgment at Nuremberg,(1961),8.172014853878704,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
138,Ran,(1985),8.16718396084665,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
139,A Beautiful Mind,(2001),8.163214372350055,"Ron Howard (dir.), Russell Crowe, Ed Harris"
140,The Sixth Sense,(1999),8.161432662035653,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
141,Monty Python and the Holy Grail,(1975),8.160628996380124,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
142,There Will Be Blood,(2007),8.159603566976955,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
143,The Truman Show,(1998),8.156939512094153,"Peter Weir (dir.), Jim Carrey, Ed Harris"
144,Yôjinbô,(1961),8.154636069251033,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
145,The Treasure of the Sierra Madre,(1948),8.153185668012076,"John Huston (dir.), Humphrey Bogart, Walter Huston"
146,Shutter Island,(2010),8.1512174675638,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
147,The Great Escape,(1963),8.150033935597063,"John Sturges (dir.), Steve McQueen, James Garner"
148,Rashômon,(1950),8.1484611859273,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
149,Jurassic Park,(1993),8.145650292601548,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
150,Kill Bill: Vol. 1,(2003),8.14470302910722,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
151,Finding Nemo,(2003),8.141730879337645,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
152,No Country for Old Men,(2007),8.141608201453016,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
153,Raging Bull,(1980),8.13952962570153,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
154,The Elephant Man,(1980),8.138513634061615,"David Lynch (dir.), Anthony Hopkins, John Hurt"
155,V for Vendetta,(2005),8.138312697311067,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
156,Gone with the Wind,(1939),8.137222795248864,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
157,Chinatown,(1974),8.135820796520353,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
158,Inside Out,(2015),8.134489772041185,"Pete Docter (dir.), Amy Poehler, Bill Hader"
159,"Lock, Stock and Two Smoking Barrels",(1998),8.132182885506113,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
160,The Thing,(1982),8.131035898948003,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
161,Dial M for Murder,(1954),8.124704186104474,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
162,El secreto de sus ojos,(2009),8.123772199018186,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
163,Hauru no ugoku shiro,(2004),8.123382639838962,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
164,The Bridge on the River Kwai,(1957),8.121375985441405,"David Lean (dir.), William Holden, Alec Guinness"
165,Trainspotting,(1996),8.11876540046443,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
166,"Three Billboards Outside Ebbing, Missouri",(2017),8.1175429678111,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Warrior,(2011),8.11737245414775,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
168,Gran Torino,(2008),8.115132679361247,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
169,Fargo,(1996),8.109944673285137,"Joel Coen (dir.), William H. Macy, Frances McDormand"
170,Tonari no Totoro,(1988),8.104462729124082,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
171,Prisoners,(2013),8.100262486835417,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
172,Million Dollar Baby,(2004),8.097946301953789,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
173,Blade Runner,(1982),8.095027234511043,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
174,The Gold Rush,(1925),8.094422894137166,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
175,Catch Me If You Can,(2002),8.094317763660476,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
176,On the Waterfront,(1954),8.093106618744722,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
177,Bacheha-Ye aseman,(1997),8.090757752842226,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
178,Harry Potter and the Deathly Hallows: Part 2,(2011),8.089742456894115,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
179,The Third Man,(1949),8.08909957639314,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
180,Gone Girl,(2014),8.086266926784889,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
181,Ben-Hur,(1959),8.08551551156825,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
182,12 Years a Slave,(2013),8.085447630593022,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
183,The General,(1926),8.08417421762865,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
184,The Deer Hunter,(1978),8.083550736986368,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
185,Smultronstället,(1957),8.081776767966938,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
186,Before Sunrise,(1995),8.081215345710092,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
187,In the Name of the Father,(1993),8.080666718941458,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
188,Mr. Smith Goes to Washington,(1939),8.078348677804504,"Frank Capra (dir.), James Stewart, Jean Arthur"
189,The Grand Budapest Hotel,(2014),8.078163363721607,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
190,Pather Panchali,(1955),8.077750474111898,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
191,Room,(2015),8.077270584620244,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
192,Sherlock Jr.,(1924),8.075741788246713,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
193,Hacksaw Ridge,(2016),8.07559575467585,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
194,How to Train Your Dragon,(2010),8.074549312238945,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
195,Salinui chueok,(2003),8.074308581229458,"Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung"
196,Le salaire de la peur,(1953),8.074283830906618,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
197,Barry Lyndon,(1975),8.073320717637904,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
198,Det sjunde inseglet,(1957),8.073273353166842,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
199,Klaus,(2019),8.072001010585838,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
200,The Big Lebowski,(1998),8.07174355280892,"Joel Coen (dir.), Jeff Bridges, John Goodman"
201,Mad Max: Fury Road,(2015),8.071673364277586,"George Miller (dir.), Tom Hardy, Charlize Theron"
202,Relatos salvajes,(2014),8.070333172732056,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
203,"Monsters, Inc.",(2001),8.068254760018847,"Pete Docter (dir.), Billy Crystal, John Goodman"
204,Mary and Max.,(2009),8.066374529072508,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
205,Jaws,(1975),8.065862807898677,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
206,La passion de Jeanne d'Arc,(1928),8.063232204318405,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
